date, pm25, pm10, o3, no2, so2, co
2023/7/10, 60, 26, 41, 10, 2, 5
2023/7/11, 64, 48, 71, 17, 2, 8
2023/7/12, 115, 36, 36, 11, 3, 8
2023/7/13, 93, 21, 63, 6, 1, 8
2023/7/14, 47, 15, 39, 6, 1, 6
2023/7/15, 30, 13, 20, 9, 2, 3
2023/7/16, 27, 23, 43, 11, 2, 4
2023/7/17, 61, 47, 107, 14, 7, 9
2023/7/18, 95, 51, 115, 11, 7, 10
2023/7/19, 112, 55, 114, 9, 6, 10
2023/7/20, 121, 55, 111, 11, 4, 9
2023/7/21, 124, 38, 43, 8, 2, 6
2023/7/22, 88, 10, 38, 6, 1, 5
2023/7/23, 34, 26, 72, 9, 3, 8
2023/7/24, 71, 28, 59, 10, 4, 5
2023/7/25, 73, 28, 68, 11, 3, 6
2023/7/26, 70, 19, 48, 6, 4, 4
2023/7/27, 52, 21, 31, 6, 5, 2
2023/7/28, 47, 19, 23, 6, 4, 4
2023/7/29, 51, 18, 11, 8, 6, 4
2023/7/30, 56, 29, 46, 9, 3, 5
2023/7/31, 68, 32, 32, 9, 4, 6
2023/8/1, 80, 30, 44, 7, 3, 6
2023/8/2, 68, 36, 48, 6, 2, 5
2023/8/3, 77, 38, 51, 7, 2, 5
2023/8/4, 85, 13, 26, 5, 1, 3
2023/8/5, 31, 9, 20, 7, 1, 3
2023/8/6, 27, 14, 29, 8, 1, 2
2023/8/7, 40, 18, 40, 9, 1, 3
2023/8/8, 47, 19, 39, 8, 2, 4
2023/8/9, 49, 19, 32, 6, 2, 3
2023/8/10, 42, 18, 25, 6, 2, 3
2023/8/11, 45, 21, 30, 8, 2, 3
2023/8/12, 49, 12, 17, 9, 1, 5
2023/8/13, 42, 17, 50, 11, 2, 5
2023/8/14, 39, 31, 58, 12, 7, 9
2023/8/15, 68, 42, 44, 20, 2, 7
2023/8/16, 92, 39, 82, 18, 2, 5
2023/8/17, 83, 43, 75, 10, 8, 9
2023/8/18, 100, 53, 88, 14, 4, 7
2023/8/19, 127, 37, 82, 9, 4, 7
2023/8/20, 95, 29, 32, 8, 6, 7
2023/8/21, 82, 22, 40, 11, 2, 4
2023/8/22, 54, 35, 46, 16, 3, 6
2023/8/23, 59, 24, 43, 10, 5, 5
2023/8/24, 51, 17, 30, 7, 3, 4
2023/8/25, 39, 21, 31, 9, 3, 4
2023/8/26, 53, 26, 33, 12, 3, 5
2023/8/27, 56, 22, 21, 10, 3, 4
2023/8/28, 56, 11, 24, 5, 2, 4
2023/8/29, 29, 16, 32, 13, 3, 5
2023/8/30, 46, 37, 35, 16, 6, 8
2023/8/31, 75, 31, 40, 10, 6, 7
2023/9/1, 58, 36, 59, 11, 8, 9
2023/9/2, 72, 39, 49, 11, 8, 8
2023/9/3, 69, 51, 59, 13, 10, 8
2023/9/4, 116, 33, 43, 9, 3, 5
2023/9/5, 68, 27, 47, 16, 5, 7
2023/9/6, 41, 38, 63, 11, 6, 9
2023/9/7, 70, 46, 44, 8, 7, 7
2023/9/8, 95, 44, 20, 14, 4, 6
2023/9/9, 74, 38, 52, 15, 7, 5
2023/9/10, 51, 35, 49, 10, 15, 6
2023/9/11, 63, 26, 28, 12, 4, 3
2023/9/12, 23, 26, 35, 16, 5, 7
2023/9/13, 105, 38, 50, 19, 8, 10
2023/9/14, 58, 43, 66, 13, 8, 8
2023/9/15, 71, 37, 67, 18, 8, 8
2023/9/16, 76, 60, 80, 16, 7, 9
2023/9/17, 116, 39, 69, 6, 8, 6
2023/9/18, 65, 22, 26, 10, 3, 3
2023/9/19, 29, 18, 28, 14, 3, 3
2023/9/20, 40, 30, 41, 16, 6, 8
2023/9/21, 66, 32, 32, 17, 8, 8
2023/9/22, 75, 39, 29, 18, 4, 6
2023/9/23, 54, 28, 34, 13, 6, 7
2023/9/24, 65, 23, 24, 13, 9, 5
2023/9/25, 62, 30, 35, 16, 6, 7
2023/9/26, 64, 55, 43, 21, 4, 10
2023/9/27, 105, 40, 29, 24, 2, 6
2023/9/28, 54, 45, 48, 17, 8, 9
2023/9/29, 65, 32, 27, 16, 2, 3
2023/9/30, 45, 27, 26, 17, 2, 5
2023/4/1, 147, 74, 75, 19, 14, 8
2023/4/2, 143, 71, 63, 20, 14, 9
2023/4/3, 133, 101, 34, 15, 4, 7
2023/4/4, 158, 256, 53, 28, 5, 11
2023/4/5, 321, 59, 32, 19, 5, 4
2023/4/6, 115, 45, 33, 7, 2, 2
2023/4/7, 47, 38, 36, 11, 5, 4
2023/4/8, 59, 84, 63, 9, 6, 7
2023/4/9, 132, 79, 55, 8, 5, 6
2023/4/10, 134, 241, 32, 9, 3, 4
2023/4/11, 131, 203, 35, 6, 4, 4
2023/4/12, 129, 348, 28, 14, 6, 7
2023/4/13, 184, 163, 33, 24, 6, 9
2023/4/14, 183, 125, 35, 15, 5, 7
2023/4/15, 149, 70, 43, 13, 4, 4
2023/4/16, 110, 73, 45, 19, 11, 8
