date, pm25, pm10, o3, no2, so2, co
2024/3/4, 63, 26, 34, 20, 3, 9
2024/3/5, 78, 45, 35, 11, 4, 7
2024/3/6, 104, 41, 32, 15, 4, 6
2024/3/7, 78, 58, 42, 13, 3, 7
2024/3/8, 129, 63, 45, 20, 3, 6
2024/3/9, 150, 37, 41, 11, 3, 4
2024/3/10, 92, 47, 30, 22, 3, 7
2024/3/11, 101, 71, 47, 20, 4, 8
2024/3/12, 148, 39, 40, 18, 3, 7
2024/3/13, 91, 52, 22, 30, 3, 7
2024/3/14, 91, 33, 40, 20, 3, 4
2024/3/15, 70, 33, 29, 17, 2, 3
2024/3/16, 79, 57, 33, 16, 3, 4
2024/3/17, 98, 55, 34, 11, 3, 3
2024/3/18, 63, 71, 39, 17, 4, 5
2024/3/19, 105, 95, 40, 17, 4, 4
2024/3/20, 84, 59, 64, 14, 3, 3
2024/3/21, 77, 63, 66, 11, 3, 4
2024/3/22, 78, 68, 23, 33, 4, 5
2024/3/23, 114, 61, 22, 26, 4, 8
2024/3/24, 139, 41, 28, 17, 3, 5
2024/3/25, 110, 30, 39, 10, 3, 5
2024/3/26, 80, 27, 47, 8, 2, 3
2024/3/27, 77, 38, 30, 16, 3, 7
2024/3/28, 104, 47, 66, 17, 3, 6
2024/3/29, 115, 55, 83, 22, 4, 5
2024/3/30, 105, 56, 46, 18, 3, 6
2024/3/31, 127, 60, 63, 18, 3, 5
2023/10/1, 44, 19, 37, 7, 3, 3
2023/10/2, 26, 21, 37, 7, 3, 3
2023/10/3, 28, 20, 38, 7, 3, 3
2023/10/4, 33, 32, 35, 6, 3, 3
2023/10/5, 40, 24, 33, 5, 3, 3
2023/10/6, 24, 22, 35, 7, 3, 4
2023/10/7, 29, 14, 33, 8, 3, 4
2023/10/8, 28, 30, 46, 12, 3, 5
2023/10/9, 60, 36, 45, 10, 3, 6
2023/10/10, 83, 23, 42, 11, 3, 5
2023/10/11, 56, 25, 37, 13, 3, 5
2023/10/12, 53, 18, 37, 10, 3, 5
2023/10/13, 48, 50, 56, 18, 5, 9
2023/10/14, 124, 59, 58, 20, 3, 8
2023/10/15, 139, 67, 41, 33, 3, 10
2023/10/16, 147, 48, 55, 19, 3, 7
2023/10/17, 113, 41, 72, 13, 3, 5
2023/10/18, 87, 58, 80, 18, 4, 7
2023/10/19, 114, 19, 34, 12, 3, 6
2023/10/20, 53, 29, 29, 16, 4, 6
2023/10/21, 46, 32, 42, 16, 3, 5
2023/10/22, 54, 26, 42, 13, 3, 5
2023/10/23, 40, 37, 44, 17, 3, 6
2023/10/24, 56, 54, 45, 24, 4, 8
2023/10/25, 120, 46, 69, 19, 3, 7
2023/10/26, 114, 44, 45, 20, 3, 7
2023/10/27, 99, 21, 40, 18, 4, 5
2023/10/28, 40, 37, 49, 16, 3, 4
2023/10/29, 54, 35, 39, 13, 3, 4
2023/10/30, 58, 37, 59, 14, 3, 4
2023/10/31, 64, 36, 53, 14, 3, 4
2023/11/1, 63, 28, 51, 9, 3, 4
2023/11/2, 48, 44, 50, 14, 4, 5
2023/11/3, 70, 28, 28, 12, 3, 4
2023/11/4, 63, 18, 33, 6, 3, 4
2023/11/5, 38, 35, 26, 8, 3, 6
2023/11/6, 62, 51, 28, 12, 4, 7
2023/11/7, 73, 44, 33, 14, 4, 6
2023/11/8, 71, 53, 29, 19, 4, 7
2023/11/9, 100, 22, 31, 8, 3, 5
2023/11/10, 57, 27, 26, 7, 3, 5
2023/11/11, 43, 30, 22, 9, 3, 6
2023/11/12, 71, 30, 23, 14, 4, 5
2023/11/13, 72, 60, 21, 31, 5, 8
2023/11/14, 121, 74, 31, 38, 5, 9
2023/11/15, 160, 84, 28, 25, 3, 8
2023/11/16, 155, 87, 25, 14, 4, 5
2023/11/17, 82, 45, 21, 18, 4, 6
2023/11/18, 69, 60, 27, 31, 4, 7
2023/11/19, 105, 75, 38, 34, 5, 9
2023/11/20, 151, 56, 45, 23, 4, 6
2023/11/21, 120, 48, 37, 24, 3, 7
2023/11/22, 110, 84, 47, 27, 6, 10
2023/11/23, 151, 27, 26, 11, 3, 6
2023/11/24, 50, 23, 28, 14, 3, 5
2023/11/25, 39, 34, 28, 17, 3, 4
2023/11/26, 75, 68, 34, 22, 4, 8
2023/11/27, 147, 80, 36, 21, 5, 9
2023/11/28, 157, 67, 41, 20, 4, 7
2023/11/29, 134, 32, 23, 11, 4, 7
2023/11/30, 77, 44, 22, 15, 5, 6
2023/12/1, 87, 47, 21, 26, 4, 5
2023/12/2, 84, 64, 26, 34, 5, 7
2023/12/3, 131, 64, 26, 31, 4, 7
2023/12/4, 143, 72, 26, 37, 4, 9
2023/12/5, 159, 85, 28, 32, 4, 8
